miesiac,liczba_jazd,liczba_stacji
201308,1001958,330
201309,1034359,330
201310,1037712,330
201311,675774,330
201312,443966,329
201401,300400,329
201402,224736,329
201403,439117,331
201404,670780,329
201405,866117,328
201406,936880,328
201407,968842,328
201408,963489,326
201409,953887,328
201410,828711,329
201411,529188,329
201412,399069,330
201501,285552,330
201502,196930,328
201503,341826,329
201504,652390,327
201505,961986,327
201506,941219,326
201507,1085676,330
201508,1179044,419
201509,1289699,453
201510,1212277,463
201511,987245,467
201512,804125,471
201601,509478,472
201602,560874,472
201603,919921,473
201604,1013149,472
201605,1212280,475
201606,1460318,475
201607,1380110,483
201608,1557663,574
201609,1648856,616
201610,1573872,608
201611,1196942,606
201612,812192,609
201701,726676,609
201702,791647,614
201703,727665,614
201704,1315404,613
201705,1523268,624
201706,1731594,624
201707,1735599,623
201708,1816498,625
201709,1878098,680
201710,1897592,756
201711,1330649,750
201712,889967,752
201801,718994,763
201802,843114,763
201803,976672,767
201804,1307543,766
201805,1824710,767
201806,1953103,765
201807,1913625,768
201808,1977177,771
201809,1877884,769
201810,1878657,766
201811,1260355,762
201812,1016505,763
201901,967287,768
201902,943744,768
201903,1327960,770
201904,1766094,784
201905,1924563,793
201906,2125370,793
201907,2181064,788
201908,2344224,795
201909,2444900,805
201910,2092573,837
201911,1478708,869
